id,created_at,user_id,screen_name,text
1070346423441547264,2018-12-05 15:57:28,888479451591397376,Leylapurple_06,b'RT @JasonErk12: This Christmas girls be like                  1. Peruvian hair=GH800\n2. Shoes/bags=GH500\n3.Clothes=GH300\n4 Inner wears=GH10\xe2\x80\xa6'
1070345695310286850,2018-12-05 15:54:34,3435324527,ParksThriller,"b'RT @craigstone_: My favourite view from Waterloo East. The iPhoneX and Anus, together at last. https://t.co/0LFcduQ9LJ'"
1070345022929887232,2018-12-05 15:51:54,32817601,th3crush3r,b'Hey @EA @EA_DICE any update on the @Battlefield BattleLog mobile app supporting #BattlefieldV? Just checking! #iOS #iPhoneX'
1070342475087253504,2018-12-05 15:41:46,180086491,fkbollybrothers,b'Hello my beautiful world... let the afternoon be like this. #istanbul #turkey #teambollybrothers #colorsplash\xe2\x80\xa6 https://t.co/SqUboWPlsq'
1070341967790268417,2018-12-05 15:39:45,871650968995155968,sabelqq,b'RT @sabelqq: omggg. is this real? help me guys!!! pls pls i really need 1k likes and 1k comments to have an iphoneX\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f support me!!!! th\xe2\x80\xa6'
1070341909552472070,2018-12-05 15:39:31,14445337,juux,"b'RT @craigstone_: My favourite view from Waterloo East. The iPhoneX and Anus, together at last. https://t.co/0LFcduQ9LJ'"
1070341868884504576,2018-12-05 15:39:22,1046088334949396480,KhalidSagir,b'@khaleefahkado Buy IPhoneX and  charger mal. Kado'
1070341762009481218,2018-12-05 15:38:56,952403127164112896,Egurenturasok,b'My beloved NYC by night\n#nyc #bynight #newyork #usa #viajes #travels #follow #turismo #viajeros #tourism #travelers\xe2\x80\xa6 https://t.co/lGYQWCUk9z'
1070341637728100353,2018-12-05 15:38:27,98627870,craigstone_,"b'My favourite view from Waterloo East. The iPhoneX and Anus, together at last. https://t.co/0LFcduQ9LJ'"
1070340339796467712,2018-12-05 15:33:17,1067749973117345792,KenyaTechBlog,b'RT @9techeleven: Who would like to see an iPhone XS Max in (RED)?\n#productred #red #HIV #apple #iPhone #iPhoneXSMax #ios #iphonex #iphonexs\xe2\x80\xa6'
1070340173676929025,2018-12-05 15:32:38,1046795319961440257,with_artist,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070337841044119552,2018-12-05 15:23:21,912376104303910914,_Dr_MK,b'This is excellent. \n\nI can confirm the @AppleSupport-ed eye examination works - after being accosted in the street\xe2\x80\xa6 https://t.co/4L4WAdiH5H'
1070336943668559872,2018-12-05 15:19:47,981001461025902592,MoneyMidtown,b'RT @sprintnews: More Fantastic Holiday Offers Available from @Sprint \xe2\x80\x93 Get 50% Off #iPhoneX with #SprintFlex! https://t.co/n5BmiWZTIs https\xe2\x80\xa6'
1070335648798789632,2018-12-05 15:14:39,1070317036000210944,IphoneAngry,b'Just set up this twitter to vent over the iPhone X screen replacement in Denmark! Expected to hand over my phone fo\xe2\x80\xa6 https://t.co/QKEd2K0EP0'
1070335527830806528,2018-12-05 15:14:10,37071762,DanRoller1,b'Enter to #win an #iPhoneX and mounting solution from @ProClipUSA!  - \n https://t.co/daT53zv3Mt'
1070335312830914560,2018-12-05 15:13:19,575065242,JDot54,b'All eyez on me\xe2\x80\x94 Tupac Shakur iPhone X Soft Case (Brand New) \n\nhttps://t.co/tXXYZsyjct \xe2\x81\xa6@VinesFinds\xe2\x81\xa9 \xe2\x81\xa6@ebaytrend\xe2\x81\xa9\xe2\x80\xa6 https://t.co/i4vtgvl25m'
1070334924803072001,2018-12-05 15:11:46,942049723686334464,mm_mm0327,"b""RT @BIG_BABY327: \xe2\x9a\x94\n\n-    \xf0\x9d\x90\x88'\xf0\x9d\x90\x8c \xf0\x9d\x90\x8b\xf0\x9d\x90\x88\xf0\x9d\x90\x8b\xf0\x9d\x90\x88   -\xe3\x80\x80BLACKPINK LISA Glitter case\n\niphoneX Ver. preview \n\n\xe2\x9a\x94\n*DM for group order request*\n\n#BLACKPINK #LISA\xe2\x80\xa6"""
